icd_decimal,icd_short,overlap_ufhealth,request_idr
E13.3531,E133531,0,yes
E13.3532,E133532,0,yes
E13.3533,E133533,0,yes
E13.3539,E133539,0,yes
E13.354,E13354,0,yes
E13.3541,E133541,0,yes
E13.3542,E133542,0,yes
E13.3543,E133543,0,yes
E13.3549,E133549,0,yes
E13.355,E13355,0,yes
E13.3551,E133551,0,yes
E13.3552,E133552,0,yes
E13.3553,E133553,0,yes
E13.3559,E133559,0,yes
E13.359,E13359,0,yes
E13.3591,E133591,0,yes
E13.3592,E133592,0,yes
E13.3593,E133593,0,yes
E13.3599,E133599,0,yes
E13.36,E1336,0,yes
E13.37,E1337,0,yes
E13.37X1,E1337X1,0,yes
E13.37X2,E1337X2,0,yes
E13.37X3,E1337X3,0,yes
E13.37X9,E1337X9,0,yes
E13.39,E1339,0,yes
E13.4,E134,0,yes
E13.40,E1340,0,yes
E13.41,E1341,0,yes
E13.42,E1342,0,yes
E13.44,E1344,0,yes
E13.5,E135,0,yes
E13.51,E1351,0,yes
E13.52,E1352,0,yes
E13.59,E1359,0,yes
E13.6,E136,0,yes
E13.61,E1361,0,yes
E13.610,E13610,0,yes
E13.618,E13618,0,yes
E13.62,E1362,0,yes
E13.620,E13620,0,yes
E13.622,E13622,0,yes
E13.628,E13628,0,yes
E13.63,E1363,0,yes
E13.630,E13630,0,yes
E13.638,E13638,0,yes
E13.64,E1364,0,yes
E13.641,E13641,0,yes
O24,O24,0,yes
O24.0,O240,0,yes
O24.01,O2401,0,yes
O24.1,O241,0,yes
O24.11,O2411,0,yes
O24.3,O243,0,yes
O24.31,O2431,0,yes
O24.4,O244,0,yes
O24.41,O2441,0,yes
O24.42,O2442,0,yes
O24.43,O2443,0,yes
O24.8,O248,0,yes
O24.81,O2481,0,yes
O24.9,O249,0,yes
O24.91,O2491,0,yes
F10.12,F1012,0,yes
F10.181,F10181,0,yes
F10.182,F10182,0,yes
F10.22,F1022,0,yes
F10.221,F10221,0,yes
F10.23,F1023,0,yes
F10.26,F1026,0,yes
F10.27,F1027,0,yes
F10.281,F10281,0,yes
F10.282,F10282,0,yes
F10.288,F10288,0,yes
F10.92,F1092,0,yes
F10.920,F10920,0,yes
F10.921,F10921,0,yes
F10.929,F10929,0,yes
F10.96,F1096,0,yes
F10.97,F1097,0,yes
F10.981,F10981,0,yes
F10.982,F10982,0,yes
F10.988,F10988,0,yes
F10.99,F1099,0,yes
G62.1,G621,0,yes
O35.4,O354,0,yes
O35.4XX1,O354XX1,0,yes
O35.4XX2,O354XX2,0,yes
O35.4XX3,O354XX3,0,yes
O35.4XX4,O354XX4,0,yes
O35.4XX5,O354XX5,0,yes
O35.4XX9,O354XX9,0,yes
O99.31,O9931,0,yes
F11.12,F1112,0,yes
F11.121,F11121,0,yes
F11.18,F1118,0,yes
F11.181,F11181,0,yes
F11.182,F11182,0,yes
F11.22,F1122,0,yes
F11.221,F11221,0,yes
F11.222,F11222,0,yes
F11.28,F1128,0,yes
F11.281,F11281,0,yes
F11.90,F1190,0,yes
F11.92,F1192,0,yes
F11.920,F11920,0,yes
F11.921,F11921,0,yes
F11.922,F11922,0,yes
F11.929,F11929,0,yes
F11.93,F1193,0,yes
F11.94,F1194,0,yes
F11.98,F1198,0,yes
F11.981,F11981,0,yes
F11.982,F11982,0,yes
F11.988,F11988,0,yes
F11.99,F1199,0,yes
F12.12,F1212,0,yes
F12.122,F12122,0,yes
F12.22,F1222,0,yes
F12.220,F12220,0,yes
F12.221,F12221,0,yes
F12.222,F12222,0,yes
F12.23,F1223,0,yes
F12.288,F12288,0,yes
F12.90,F1290,0,yes
F12.92,F1292,0,yes
F12.920,F12920,0,yes
F12.921,F12921,0,yes
F12.922,F12922,0,yes
F12.929,F12929,0,yes
F12.93,F1293,0,yes
F12.988,F12988,0,yes
F12.99,F1299,0,yes
F13.12,F1312,0,yes
F13.120,F13120,0,yes
F13.121,F13121,0,yes
F13.14,F1314,0,yes
F13.181,F13181,0,yes
F13.182,F13182,0,yes
F13.188,F13188,0,yes
F13.22,F1322,0,yes
F13.221,F13221,0,yes
F13.23,F1323,0,yes
F13.231,F13231,0,yes
F13.232,F13232,0,yes
F13.24,F1324,0,yes
F13.26,F1326,0,yes
F13.27,F1327,0,yes
F13.281,F13281,0,yes
F13.282,F13282,0,yes
F13.288,F13288,0,yes
F13.29,F1329,0,yes
F13.90,F1390,0,yes
F13.92,F1392,0,yes
F13.920,F13920,0,yes
F13.921,F13921,0,yes
F13.929,F13929,0,yes
F13.93,F1393,0,yes
F13.930,F13930,0,yes
F13.931,F13931,0,yes
F13.932,F13932,0,yes
F13.939,F13939,0,yes
F13.94,F1394,0,yes
F13.96,F1396,0,yes
F13.97,F1397,0,yes
F13.981,F13981,0,yes
F13.982,F13982,0,yes
F13.988,F13988,0,yes
F13.99,F1399,0,yes
F14.12,F1412,0,yes
F14.181,F14181,0,yes
F14.182,F14182,0,yes
F14.22,F1422,0,yes
F14.220,F14220,0,yes
F14.221,F14221,0,yes
F14.222,F14222,0,yes
F14.229,F14229,0,yes
F14.281,F14281,0,yes
F14.282,F14282,0,yes
F14.288,F14288,0,yes
F14.90,F1490,0,yes
F14.92,F1492,0,yes
F14.920,F14920,0,yes
F14.921,F14921,0,yes
F14.922,F14922,0,yes
